iter	Logloss
0	0.652814189
1	0.6236958579
2	0.6026563695
3	0.5843562373
4	0.5699384578
5	0.5582505483
6	0.5447120061
7	0.5336447418
8	0.5221141835
9	0.5143271149
10	0.5059119734
11	0.5026063869
12	0.4987795391
13	0.4952605313
14	0.4884949538
15	0.4834770324
16	0.4811297624
17	0.4802264259
18	0.4760035762
19	0.4726359049
20	0.468496252
21	0.4662457017
22	0.4654932981
23	0.4609256321
24	0.4586087989
25	0.4548902562
26	0.4520063451
27	0.4493835691
28	0.4453496378
29	0.44175587
30	0.4399723679
31	0.4367744002
32	0.4339939501
33	0.4319879441
34	0.4306194164
35	0.4292433804
36	0.4278453847
37	0.4253144441
38	0.4213190634
39	0.4192997362
40	0.4163425587
41	0.4148086871
42	0.412669308
43	0.4098571293
44	0.4081876644
45	0.4067861567
46	0.4060603954
47	0.4030979298
48	0.4023297022
49	0.3994758243
50	0.398214754
51	0.3965701149
52	0.392616716
53	0.3910378754
54	0.3901217829
55	0.389857378
56	0.3876157084
57	0.3856944331
58	0.3840859226
59	0.3832596875
60	0.3798384894
61	0.3775879391
62	0.3751222318
63	0.3728934798
64	0.3714413113
65	0.3700865085
66	0.3685477121
67	0.3676472013
68	0.3675168961
69	0.3656870524
70	0.363945411
71	0.3605624809
72	0.3584585038
73	0.3570227245
74	0.3543778677
75	0.3519404578
76	0.3502839911
77	0.3478115829
78	0.3445303377
79	0.3424522763
80	0.3403299725
81	0.3368341557
82	0.3349595246
83	0.3338025209
84	0.3315750606
85	0.3286007069
86	0.3265530218
87	0.3251073524
88	0.3241261881
89	0.3222037018
90	0.3184945445
91	0.3157813259
92	0.3127141075
93	0.3114509784
94	0.3091679729
95	0.306920652
96	0.3056942773
97	0.303215592
98	0.3008398833
99	0.2984010404
100	0.2960141702
101	0.2934566276
102	0.2914097296
103	0.2895231701
104	0.2871100007
105	0.2847421232
106	0.2835864112
107	0.2815657116
108	0.2798507529
109	0.2779871017
110	0.2762323612
111	0.2754509537
112	0.27480518
113	0.2727074598
114	0.2708050359
115	0.268385105
116	0.266788301
117	0.264987885
118	0.2638185491
119	0.2616435056
120	0.261127371
121	0.2594714695
122	0.2583391301
123	0.2569100516
124	0.2553938608
125	0.2526475412
126	0.2510022966
127	0.2495578181
128	0.2478370667
129	0.2470024957
130	0.2452364321
131	0.2440445915
132	0.2428310132
133	0.241861192
134	0.2411838915
135	0.2398647329
136	0.2382952372
137	0.2376841591
138	0.2361437076
139	0.2356501181
140	0.2343962735
141	0.23296114
142	0.2317141175
143	0.2305301686
144	0.229448591
145	0.227455341
146	0.2265379769
147	0.2251398399
148	0.2234135582
149	0.2222489655
150	0.2212456395
151	0.220424087
152	0.2192882962
153	0.2182374984
154	0.2170360505
155	0.2164797102
156	0.2154024316
157	0.2143696578
158	0.2133994733
159	0.2121701114
160	0.211836719
161	0.2116977954
162	0.2109567551
163	0.2098385443
164	0.2087036214
165	0.2080868312
166	0.2071659149
167	0.20679817
168	0.2054653672
169	0.2046236311
170	0.2033705535
171	0.2025327127
172	0.201246413
173	0.2004106915
174	0.199156302
175	0.197694506
176	0.1967652336
177	0.1956726155
178	0.1947512753
179	0.1940378462
180	0.1931193922
181	0.1919036542
182	0.1912539447
183	0.1906209471
184	0.1897609852
185	0.188954207
186	0.1884396669
187	0.1873547186
188	0.1864737859
189	0.1856162863
190	0.1854128156
191	0.1847614712
192	0.1837267598
193	0.1831797847
194	0.1822906979
195	0.1813517374
196	0.1807102224
197	0.1794424915
198	0.1786882915
199	0.1776589288
200	0.1767419886
201	0.1754645494
202	0.1751688195
203	0.1743958892
204	0.1730367671
205	0.1726026384
206	0.172190429
207	0.1716973037
208	0.1712663842
209	0.170600548
210	0.170356811
211	0.1692773123
212	0.1684515009
213	0.1680548229
214	0.1674016115
215	0.1666071352
216	0.1659545192
217	0.1657043336
218	0.1653641393
219	0.1649612447
220	0.1644146531
221	0.1634141831
222	0.1629963628
223	0.1628387895
224	0.1623867984
225	0.1613596356
226	0.1609293014
227	0.160647357
228	0.159710869
229	0.1590114371
230	0.1588135573
231	0.158633439
232	0.1580910758
233	0.1576296388
234	0.1569185005
235	0.1559617885
236	0.1554070225
237	0.1551067615
238	0.1545886792
239	0.1537940414
240	0.1532955271
241	0.1531027537
242	0.1521712914
243	0.1516154859
244	0.1509055486
245	0.1501869525
246	0.1493604852
247	0.1488880682
248	0.1482666359
249	0.1476102355
250	0.1467050421
251	0.1461438981
252	0.145646837
253	0.1449433281
254	0.1444744029
255	0.1439384178
256	0.1436175493
257	0.1428902238
258	0.1422925878
259	0.1420410802
260	0.1413451906
261	0.1408882343
262	0.1399497582
263	0.1393609425
264	0.1389445148
265	0.1387729241
266	0.1379951396
267	0.1373213511
268	0.1369973945
269	0.1362265531
270	0.1355898822
271	0.1352934661
272	0.1344114334
273	0.1340025241
274	0.1334359709
275	0.13304998
276	0.1327818512
277	0.1323552106
278	0.1319867492
279	0.1314599981
280	0.1309613828
281	0.1306770365
282	0.1302632226
283	0.129780068
284	0.1293984469
285	0.1290965105
286	0.1286205716
287	0.1278618202
288	0.1273687252
289	0.1268727943
290	0.1265035962
291	0.1262288371
292	0.1258649877
293	0.1254497508
294	0.1250976583
295	0.1247465749
296	0.1245076719
297	0.1239969062
298	0.1236511614
299	0.1229725994
300	0.1222259683
301	0.1214703151
302	0.1210586104
303	0.1207704695
304	0.1206003926
305	0.1203257949
306	0.1198584541
307	0.1197224572
308	0.1190835761
309	0.1187763719
310	0.1184398308
311	0.1181111411
312	0.1176434068
313	0.1170174937
314	0.1166031045
315	0.1161444326
316	0.1157576142
317	0.1154199429
318	0.1151655793
319	0.1147502213
320	0.1145968967
321	0.1140007342
322	0.1134886161
323	0.1132757702
324	0.1128907784
325	0.1127313685
326	0.1124405533
327	0.1121767034
328	0.1116740514
329	0.1112580678
330	0.1108905449
331	0.1106237179
332	0.1103910618
333	0.1101778525
334	0.1100608583
335	0.1097042144
336	0.1093216144
337	0.1089500548
338	0.1086130092
339	0.1080233962
340	0.1077369004
341	0.1075092295
342	0.1073701546
343	0.1071522627
344	0.1066408309
345	0.1063831269
346	0.1059171788
347	0.1056150103
348	0.105280972
349	0.1046197377
350	0.1045638998
351	0.1043896549
352	0.1041430519
353	0.1038555771
354	0.1034680927
355	0.1033776097
356	0.1031930207
357	0.1030622008
358	0.1025361964
359	0.1018918961
360	0.101710587
361	0.1013629853
362	0.1011487164
363	0.1008125991
364	0.1006191395
365	0.100445601
366	0.1003258922
367	0.09999627411
368	0.09964253663
369	0.09939191707
370	0.09918979867
371	0.09912487817
372	0.09888869997
373	0.09856340116
374	0.09816210106
375	0.0981105421
376	0.0975853047
377	0.09744210218
378	0.09714133651
379	0.09695388148
380	0.09665132957
381	0.09652292161
382	0.09620791642
383	0.09614572071
384	0.09585203948
385	0.09557437392
386	0.09541066488
387	0.09512742865
388	0.09477383245
389	0.09440939767
390	0.09416864789
391	0.09365352247
392	0.09330838319
393	0.09294931725
394	0.09280863767
395	0.09256538512
396	0.09220872102
397	0.09201251641
398	0.09175473168
399	0.09150288092
