iter	Passed	Remaining
0	28	11380
1	58	11558
2	72	9542
3	98	9779
4	127	10088
5	155	10227
6	186	10492
7	216	10628
8	245	10667
9	270	10531
10	293	10366
11	299	9678
12	317	9456
13	327	9036
14	352	9039
15	374	8992
16	377	8515
17	382	8125
18	416	8344
19	451	8582
20	477	8618
21	482	8297
22	491	8056
23	518	8123
24	550	8253
25	579	8335
26	604	8354
27	631	8383
28	657	8410
29	678	8369
30	697	8303
31	724	8336
32	749	8333
33	775	8344
34	801	8360
35	827	8366
36	834	8187
37	867	8265
38	896	8302
39	920	8280
40	949	8313
41	978	8343
42	1007	8367
43	1036	8383
44	1064	8395
45	1088	8379
46	1092	8207
47	1119	8209
48	1147	8223
49	1170	8194
50	1179	8070
51	1201	8041
52	1230	8055
53	1260	8078
54	1270	7971
55	1274	7831
56	1306	7862
57	1333	7860
58	1355	7832
59	1381	7827
60	1407	7821
61	1433	7815
62	1462	7822
63	1487	7809
64	1519	7832
65	1532	7753
66	1559	7748
67	1582	7726
68	1586	7610
69	1610	7592
70	1632	7562
71	1658	7556
72	1686	7552
73	1717	7567
74	1750	7585
75	1781	7596
76	1810	7593
77	1830	7555
78	1853	7532
79	1881	7524
80	1910	7523
81	1944	7540
82	1972	7532
83	2001	7530
84	2024	7503
85	2047	7475
86	2073	7461
87	2096	7432
88	2121	7415
89	2149	7405
90	2178	7396
91	2209	7398
92	2233	7373
93	2255	7341
94	2281	7325
95	2307	7308
96	2337	7302
97	2363	7283
98	2392	7272
99	2423	7271
100	2451	7257
101	2474	7229
102	2492	7186
103	2513	7152
104	2538	7132
105	2564	7111
106	2590	7093
107	2616	7074
108	2637	7042
109	2657	7005
110	2678	6973
111	2700	6943
112	2722	6915
113	2745	6888
114	2774	6876
115	2802	6862
116	2828	6841
117	2855	6824
118	2876	6791
119	2900	6768
120	2927	6750
121	2951	6724
122	2976	6704
123	3002	6681
124	3026	6657
125	3055	6645
126	3082	6625
127	3120	6630
128	3140	6598
129	3164	6572
130	3186	6543
131	3209	6515
132	3231	6487
133	3256	6463
134	3286	6451
135	3314	6434
136	3340	6412
137	3369	6397
138	3395	6375
139	3424	6360
140	3450	6338
141	3475	6314
142	3504	6298
143	3527	6271
144	3551	6246
145	3578	6225
146	3608	6210
147	3638	6195
148	3666	6176
149	3693	6156
150	3717	6129
151	3748	6115
152	3775	6095
153	3806	6080
154	3832	6058
155	3865	6046
156	3889	6020
157	3921	6006
158	3948	5984
159	3976	5964
160	4004	5945
161	4032	5924
162	4062	5907
163	4093	5890
164	4120	5867
165	4152	5852
166	4177	5828
167	4203	5805
168	4227	5778
169	4250	5750
170	4274	5724
171	4297	5696
172	4321	5670
173	4344	5642
174	4372	5621
175	4399	5599
176	4427	5577
177	4450	5550
178	4478	5528
179	4501	5501
180	4525	5476
181	4550	5450
182	4579	5430
183	4607	5408
184	4629	5380
185	4654	5355
186	4682	5333
187	4707	5308
188	4733	5284
189	4755	5256
190	4777	5227
191	4803	5204
192	4829	5179
193	4847	5147
194	4871	5121
195	4894	5093
196	4920	5070
197	4946	5046
198	4965	5015
199	4988	4988
200	5013	4963
201	5036	4936
202	5059	4909
203	5082	4882
204	5107	4858
205	5133	4834
206	5159	4810
207	5181	4783
208	5209	4760
209	5237	4738
210	5261	4712
211	5285	4687
212	5305	4658
213	5329	4632
214	5351	4605
215	5377	4581
216	5405	4558
217	5432	4535
218	5458	4511
219	5482	4485
220	5506	4460
221	5534	4437
222	5558	4412
223	5584	4387
224	5608	4362
225	5634	4337
226	5663	4316
227	5689	4291
228	5715	4267
229	5738	4241
230	5764	4217
231	5792	4194
232	5822	4172
233	5848	4149
234	5872	4123
235	5899	4099
236	5925	4075
237	5945	4047
238	5971	4022
239	5994	3996
240	6022	3973
241	6048	3949
242	6077	3926
243	6101	3901
244	6130	3878
245	6151	3850
246	6174	3824
247	6198	3799
248	6222	3773
249	6249	3749
250	6275	3725
251	6301	3700
252	6329	3677
253	6353	3652
254	6374	3624
255	6395	3597
256	6418	3571
257	6444	3547
258	6473	3524
259	6500	3500
260	6528	3476
261	6554	3452
262	6575	3425
263	6596	3397
264	6615	3370
265	6639	3344
266	6662	3318
267	6690	3295
268	6714	3269
269	6741	3245
270	6763	3219
271	6790	3195
272	6816	3171
273	6837	3144
274	6853	3115
275	6871	3087
276	6898	3063
277	6920	3037
278	6942	3010
279	6963	2984
280	6988	2959
281	7010	2933
282	7030	2906
283	7053	2881
284	7079	2856
285	7099	2829
286	7122	2804
287	7144	2778
288	7164	2751
289	7191	2727
290	7216	2703
291	7243	2679
292	7264	2652
293	7286	2627
294	7312	2602
295	7333	2576
296	7369	2555
297	7394	2531
298	7420	2506
299	7448	2482
300	7473	2458
301	7499	2433
302	7521	2407
303	7547	2383
304	7574	2359
305	7598	2334
306	7623	2309
307	7649	2285
308	7677	2260
309	7701	2235
310	7721	2209
311	7745	2184
312	7770	2159
313	7793	2134
314	7817	2109
315	7841	2084
316	7861	2058
317	7883	2032
318	7909	2008
319	7930	1982
320	7953	1957
321	7973	1931
322	7995	1906
323	8016	1880
324	8040	1855
325	8064	1830
326	8087	1805
327	8113	1780
328	8136	1755
329	8158	1730
330	8187	1706
331	8209	1681
332	8233	1656
333	8258	1631
334	8284	1607
335	8310	1582
336	8333	1557
337	8354	1532
338	8383	1508
339	8408	1483
340	8435	1459
341	8464	1435
342	8486	1410
343	8503	1384
344	8522	1358
345	8542	1333
346	8559	1307
347	8582	1282
348	8605	1257
349	8627	1232
350	8650	1207
351	8676	1183
352	8698	1158
353	8723	1133
354	8747	1108
355	8769	1083
356	8793	1059
357	8819	1034
358	8848	1010
359	8871	985
360	8892	960
361	8918	936
362	8938	911
363	8955	885
364	8973	860
365	8991	835
366	9008	810
367	9032	785
368	9054	760
369	9076	735
370	9104	711
371	9121	686
372	9143	661
373	9166	637
374	9188	612
375	9211	587
376	9235	563
377	9256	538
378	9275	513
379	9302	489
380	9328	465
381	9353	440
382	9384	416
383	9409	392
384	9433	367
385	9458	343
386	9480	318
387	9504	293
388	9527	269
389	9547	244
390	9567	220
391	9586	195
392	9610	171
393	9636	146
394	9660	122
395	9681	97
396	9707	73
397	9733	48
398	9756	24
399	9776	0
