iter	Passed	Remaining
0	39	15869
1	75	15094
2	113	14985
3	143	14170
4	173	13689
5	202	13323
6	229	12878
7	261	12821
8	292	12686
9	321	12551
10	350	12407
11	376	12169
12	405	12072
13	433	11952
14	459	11806
15	492	11828
16	524	11807
17	552	11731
18	582	11687
19	611	11619
20	641	11571
21	673	11565
22	706	11572
23	735	11525
24	766	11493
25	796	11451
26	826	11417
27	852	11320
28	878	11240
29	911	11240
30	938	11173
31	969	11153
32	995	11068
33	1025	11041
34	1055	11011
35	1081	10932
36	1108	10875
37	1140	10864
38	1169	10828
39	1199	10797
40	1226	10739
41	1252	10672
42	1278	10611
43	1304	10557
44	1330	10495
45	1364	10498
46	1394	10476
47	1423	10439
48	1455	10423
49	1485	10395
50	1514	10367
51	1542	10320
52	1571	10286
53	1606	10293
54	1641	10297
55	1672	10273
56	1705	10263
57	1738	10250
58	1767	10216
59	1802	10213
60	1845	10256
61	1884	10275
62	1918	10262
63	1955	10267
64	1987	10243
65	2022	10232
66	2055	10215
67	2086	10187
68	2117	10157
69	2148	10127
70	2176	10086
71	2206	10050
72	2238	10029
73	2267	9989
74	2296	9953
75	2324	9907
76	2349	9855
77	2379	9822
78	2406	9779
79	2437	9749
80	2470	9731
81	2502	9703
82	2531	9666
83	2566	9656
84	2603	9649
85	2633	9614
86	2666	9593
87	2701	9576
88	2735	9559
89	2768	9536
90	2797	9499
91	2825	9460
92	2854	9424
93	2882	9383
94	2909	9342
95	2941	9315
96	2977	9299
97	3003	9254
98	3028	9208
99	3056	9169
100	3084	9130
101	3113	9095
102	3140	9054
103	3173	9031
104	3204	9003
105	3234	8972
106	3269	8954
107	3304	8935
108	3339	8914
109	3373	8892
110	3417	8898
111	3459	8895
112	3494	8875
113	3526	8846
114	3558	8818
115	3587	8784
116	3617	8748
117	3650	8723
118	3678	8685
119	3705	8646
120	3733	8608
121	3762	8573
122	3789	8533
123	3816	8495
124	3842	8454
125	3872	8422
126	3901	8386
127	3930	8353
128	3960	8320
129	3988	8284
130	4018	8252
131	4046	8216
132	4072	8176
133	4101	8142
134	4132	8112
135	4160	8077
136	4188	8040
137	4215	8004
138	4245	7972
139	4274	7938
140	4306	7910
141	4340	7886
142	4376	7865
143	4411	7843
144	4446	7818
145	4476	7787
146	4508	7759
147	4536	7723
148	4567	7693
149	4597	7662
150	4625	7626
151	4652	7590
152	4681	7557
153	4712	7527
154	4740	7493
155	4768	7458
156	4797	7425
157	4825	7391
158	4850	7352
159	4878	7318
160	4906	7283
161	4938	7254
162	4969	7225
163	4998	7193
164	5032	7166
165	5063	7137
166	5095	7108
167	5127	7080
168	5160	7053
169	5189	7020
170	5220	6991
171	5251	6961
172	5279	6927
173	5310	6897
174	5338	6863
175	5366	6830
176	5395	6797
177	5421	6762
178	5447	6725
179	5474	6690
180	5505	6660
181	5534	6629
182	5559	6592
183	5589	6561
184	5615	6525
185	5641	6490
186	5667	6455
187	5694	6421
188	5722	6388
189	5748	6354
190	5776	6320
191	5807	6291
192	5835	6259
193	5867	6230
194	5898	6201
195	5933	6175
196	5967	6149
197	5993	6114
198	6020	6081
199	6046	6046
200	6069	6009
201	6095	5974
202	6123	5942
203	6158	5917
204	6193	5891
205	6221	5859
206	6249	5826
207	6274	5792
208	6301	5758
209	6328	5725
210	6356	5693
211	6390	5666
212	6416	5633
213	6442	5599
214	6473	5570
215	6498	5535
216	6522	5500
217	6550	5468
218	6582	5440
219	6610	5408
220	6636	5375
221	6662	5341
222	6689	5309
223	6716	5277
224	6748	5249
225	6780	5220
226	6806	5187
227	6833	5154
228	6860	5122
229	6888	5091
230	6923	5065
231	6960	5040
232	6985	5007
233	7015	4976
234	7043	4945
235	7071	4913
236	7098	4882
237	7133	4855
238	7164	4826
239	7192	4794
240	7219	4762
241	7245	4730
242	7271	4698
243	7300	4667
244	7328	4636
245	7357	4605
246	7385	4574
247	7417	4546
248	7447	4516
249	7474	4484
250	7505	4455
251	7537	4426
252	7571	4399
253	7603	4370
254	7635	4342
255	7666	4312
256	7697	4283
257	7728	4253
258	7760	4224
259	7796	4197
260	7826	4167
261	7853	4136
262	7879	4104
263	7908	4074
264	7937	4043
265	7964	4012
266	7991	3980
267	8022	3951
268	8050	3920
269	8080	3890
270	8109	3860
271	8138	3830
272	8168	3800
273	8195	3768
274	8223	3738
275	8257	3710
276	8288	3680
277	8319	3651
278	8351	3621
279	8380	3591
280	8412	3562
281	8438	3531
282	8469	3501
283	8500	3472
284	8529	3441
285	8558	3411
286	8586	3380
287	8616	3350
288	8647	3321
289	8676	3290
290	8709	3262
291	8739	3232
292	8769	3202
293	8797	3171
294	8828	3142
295	8856	3111
296	8884	3081
297	8920	3053
298	8950	3023
299	8980	2993
300	9010	2963
301	9038	2933
302	9066	2902
303	9090	2870
304	9123	2841
305	9151	2811
306	9180	2781
307	9208	2750
308	9238	2720
309	9269	2691
310	9300	2661
311	9330	2631
312	9363	2602
313	9396	2573
314	9424	2543
315	9453	2513
316	9483	2483
317	9511	2452
318	9542	2423
319	9575	2393
320	9604	2363
321	9635	2334
322	9666	2304
323	9694	2274
324	9723	2243
325	9752	2213
326	9782	2183
327	9811	2153
328	9837	2123
329	9868	2093
330	9904	2064
331	9940	2035
332	9973	2006
333	10010	1978
334	10043	1948
335	10077	1919
336	10109	1889
337	10141	1860
338	10172	1830
339	10204	1800
340	10238	1771
341	10271	1742
342	10306	1712
343	10337	1682
344	10368	1652
345	10401	1623
346	10434	1593
347	10466	1564
348	10495	1533
349	10526	1503
350	10557	1473
351	10587	1443
352	10618	1413
353	10652	1384
354	10682	1354
355	10711	1323
356	10744	1294
357	10771	1263
358	10802	1233
359	10831	1203
360	10859	1173
361	10893	1143
362	10927	1113
363	10957	1083
364	10984	1053
365	11011	1022
366	11038	992
367	11065	962
368	11093	931
369	11123	901
370	11151	871
371	11178	841
372	11205	811
373	11233	780
374	11262	750
375	11290	720
376	11317	690
377	11352	660
378	11383	630
379	11411	600
380	11443	570
381	11473	540
382	11503	510
383	11540	480
384	11578	451
385	11610	421
386	11641	391
387	11672	361
388	11705	330
389	11737	300
